1100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Ibis Hotel;1;90;Ashley;15/10/2015;4;Silva;11/4/2016;4;Hayes;18/11/2016;8;Mcneil;18/8/2015;9;Nixon;6/7/2016;7;Warren;4/2/2017;8;Roth;20/10/2015;3;Cherry;8/6/2015;10;Pennington;21/12/2016;8;Monroe;4/4/2017;8;Herman;21/3/2017;7;Meyer;28/7/2015;2;Sawyer;24/3/2016;3;Park;17/8/2016;9;Chavez;3/12/2015;7;Cash;17/2/2017;7
2;Novotel;1;75;Rios;30/7/2016;8;Vasquez;16/9/2015;10;Simmons;19/10/2015;9;Collins;4/2/2017;3;Chambers;6/5/2016;10;Baxter;31/1/2017;3;Howe;24/2/2016;7;Solomon;26/3/2017;6;Bradley;21/8/2016;9;Dillard;25/9/2015;6;Travis;24/2/2016;5;Castaneda;11/10/2015;7;Velazquez;21/11/2015;7;Mcneil;24/6/2016;3;Oneil;22/3/2017;10;Cross;5/3/2016;5
5;Travel Inn;5;74;Levy;4/4/2017;3;Copeland;17/4/2015;10;Mullins;17/1/2016;7;Duran;30/7/2016;5;Fox;11/11/2016;8;Ford;7/8/2016;5;Shepherd;9/3/2017;9;Noble;28/4/2016;4;Nieves;24/9/2016;5;Huffman;13/3/2017;8;Foley;14/12/2016;2;Hoffman;17/1/2017;10;Steele;11/12/2015;2;Todd;2/4/2016;7;Franklin;26/12/2015;4;Garrett;4/4/2017;10
7;Ibis Hotel;1;90;Gates;14/5/2016;8;Donaldson;8/5/2016;9;Contreras;27/7/2015;1;Mann;9/11/2015;5;Carey;26/11/2015;6;Matthews;14/4/2015;2;Lynn;7/1/2016;3;Berry;23/12/2015;2;Atkinson;4/12/2016;1;Kemp;1/9/2016;8;Nieves;26/8/2016;5;Castaneda;3/9/2016;5;Lopez;18/10/2015;7;Glover;17/1/2017;6;Shepherd;3/3/2017;9;Mcmahon;8/12/2016;4
8;Novotel;4;53;Stewart;9/11/2016;2;Hobbs;12/8/2015;10;Willis;27/10/2015;7;Powers;22/9/2015;10;Love;27/4/2016;3;Randolph;18/12/2016;6;Christian;28/2/2016;4;Burnett;12/3/2017;5;Knight;24/8/2015;5;Battle;25/7/2015;2;Barr;9/1/2017;3;Shepard;20/6/2015;2;Guy;9/4/2016;3;Nolan;15/6/2015;1;Klein;24/3/2017;5;Caldwell;10/12/2016;7
9;Mandarin Oriental;4;53;Sharpe;14/5/2016;8;Whitney;17/12/2015;6;Cherry;23/1/2017;6;Jennings;16/4/2016;8;Mosley;10/11/2015;9;Solis;27/8/2016;4;Hahn;20/3/2016;1;Pruitt;23/1/2017;3;Chandler;22/8/2015;7;Henderson;11/8/2016;5;Willis;8/8/2015;6;Spence;17/3/2016;6;Matthews;23/7/2015;10;Hudson;2/2/2017;3;Copeland;2/12/2016;5;Mendez;17/6/2016;6
10;Norfolk Plaza Hotel;1;90;Singleton;29/8/2016;5;Padilla;9/3/2016;3;Wilder;24/1/2017;3;Klein;18/12/2016;2;Sims;4/8/2016;3;Mendez;22/11/2016;2;Ray;17/2/2017;6;Waller;23/12/2016;8;Pope;7/11/2015;9;Silva;30/11/2016;8;Cleveland;15/11/2016;9;Shelton;12/12/2016;6;Guthrie;25/5/2016;6;Downs;18/11/2016;7;Leblanc;20/7/2016;2;Suarez;6/4/2017;6
11;The Blakemore Hotel;2;88;Huff;11/7/2015;6;Navarro;20/4/2016;4;Gross;7/9/2015;9;Chen;29/5/2016;4;Kerr;22/12/2015;10;James;22/5/2016;10;Petty;2/4/2016;3;Golden;1/11/2015;1;Christian;19/4/2016;6;Meyers;19/12/2015;1;Ross;18/5/2016;7;Watkins;4/12/2015;5;Chambers;8/7/2016;8;Brewer;20/8/2016;9;Mcbride;25/3/2016;1;Kennedy;22/9/2015;6
12;Kensington Rooms;3;74;Garza;28/2/2016;6;Francis;26/9/2016;2;Workman;17/3/2017;4;Malone;1/7/2016;7;Harris;19/9/2016;10;Steele;11/4/2015;8;Kelly;24/1/2017;6;Howe;10/1/2017;7;Weaver;18/12/2015;3;Bond;28/6/2015;1;Jacobs;24/10/2015;6;Cochran;5/9/2016;10;Pope;8/11/2016;7;Mcdaniel;8/4/2016;5;Walker;7/10/2015;3;Hall;27/11/2016;4
14;The Bingham Hotel on Thames;4;80;Burgess;18/6/2015;9;Blevins;11/3/2016;5;Leonard;12/5/2015;5;Mccormick;30/3/2017;4;Dyer;24/5/2016;3;Case;14/11/2016;2;Morrow;28/5/2016;8;Delgado;2/1/2017;7;Vaughan;17/3/2017;8;Taylor;8/6/2016;2;Green;12/11/2015;3;Horn;27/7/2015;7;York;16/2/2017;6;Richardson;18/10/2016;4;Lowery;22/5/2016;6;Vang;7/11/2016;3
